Batch,ID,Pond,Pond2,Samplevol,Samplevol2,Totalbiomass,12:00,13:00,14:00,15:00,16:00,17:00,18:00,20:00,22:00,23:00,24:00:00,10:0 2OH,13:0 iso,14:0 iso, 14:1 w5c,14:1 w7c,15:0 anteiso,15:0 iso,15:1 anteiso w9c,15:1 iso w6c,15:1 w5c,15:1 w6c,15:1 w9c,16:0 10-methyl,16:0 anteiso,16:0 iso,16:1 w3c, 16:1 w5c, 16:1 w7c,16:4 w3c,17:0 10-methyl,17:0 anteiso,17:0 cyclo w7c,17:0 iso,17:1 anteiso w9c, 17:1 iso w9c,17:1 w6c,17:1 w8c, 17:1 iso w10c,18:0 10-methyl,18:0 iso,18:1 w5c,18:1 w7c,18:1 w7c 10-methyl,18:1 w8c, 18:1 w9c,18:2 w6c,18:3 w6c,18:4 w3c,19:0 cyclo w7c, 19:1 w7c 10-methyl,19:1 w8c,19:3 w6c,20:0 iso,20:1 w8c,20:1 w9c,20:2 w6c,20:3 w6c,20:4 w6c,20:5 w3c,21:1 w9c,22:1 w6c,22:1 w9c,22:4 w6c,22:5 w3c, 22:5 w6c,22:6 w3c,24:1 w9c
2,1,Oil,1b,0.009,9,1407.704611,0,0,46.29203409,17.82057307,366.4178672,0,112.5537085,0,0,0,0,0,0,0,0,0,26.947225,22.67208416,0,0,0,0,0,0,0,0,0,22.87489338,179.5529009,0,0,0,0,0,0,26.97987305,0,0,0,0,0,0,238.5297123,0,0,146.3401254,77.34072176,29.17034803,30.49200615,0,0,0,0,0,0,0,0,0,22.95532291,40.76521482,0,0,0,0,0,0,0,0
2,2,No Oil,1a,0.01,10,1236.943846,0,0,38.83852666,17.06925726,252.1086944,0,75.69200536,0,0,0,0,0,0,0,0,0,20.58975415,18.20204942,0,0,0,0,0,0,0,0,0,30.21496615,227.925254,36.11752747,0,0,0,0,0,40.35781998,0,0,0,0,0,0,123.4190383,0,102.6366507,84.24149566,62.32612404,0,0,0,0,0,0,0,0,0,0,0,28.9592786,43.53571261,0,0,0,0,0,13.92985187,20.77983981,0
2,3,Waterfall,2a,0.076,76,1344.656001,2.458301464,0,48.97450708,10.12816091,266.9622564,6.615802009,36.81027593,2.560621689,4.071948012,0,4.857736414,0,0,18.45837163,0,2.932602003,20.65626396,28.54722754,1.688083134,17.95395922,0,1.431602942,0,0,7.509712651,12.30024219,3.965244198,30.34844682,184.3036669,8.785260432,1.810408327,6.190828625,0,6.857921495,0,9.137211553,6.452742688,9.413444452,12.48310375,6.308860622,0,5.070117423,263.7437394,5.415164461,0,83.42715662,66.94556213,10.93334267,21.4585168,4.736432235,2.403514915,0,0,1.897189176,2.845474989,6.104844606,3.229288809,2.954047676,22.0068458,38.23115836,0,0,0,0,1.32735299,6.470234895,14.48120235,0
2,4,Golf,1c,0.044,44,412.9921851,0,0,19.5386513,4.363545137,76.33816394,0,16.61892974,0,0,0,0,0,0,3.740284987,0,0,12.74506377,9.321231498,0,3.864736165,0,0,0,3.924204782,0,7.030917472,0,14.73801366,73.06701065,0,0,3.487798743,0,0,0,8.421562842,0,0,0,0,0,0,74.7698935,0,0,29.7309947,20.08668464,0,9.964341499,2.715863644,0,0,0,0,0,0,0,0,3.586307898,6.93489589,0,0,0,0,0,3.790853992,4.212234642,0
2,5,Golf,1c,0.03,30,551.4203503,0,0,20.56956476,5.065149096,109.8722598,0,30.02623394,0,0,0,0,0,0,4.650664458,0,0,15.0629236,10.52410877,0,5.409998745,0,0,0,0,0,5.13636344,0,17.2441052,88.40970098,0,0,5.377368942,0,0,0,7.11970848,0,0,0,0,0,0,117.7848719,0,0,44.11063091,28.93738263,0,7.35439447,4.457608507,0,0,0,0,0,0,0,0,4.601052015,8.503750179,0,0,0,0,0,4.883366157,6.319143355,0
2,6,Vulgaris,3,0.019,19,2200.485789,8.530395521,0,162.9426618,33.8777989,0,15.07610395,102.3839925,8.435793751,33.01926415,0,22.53938049,10.05386692,0,31.00511284,0,0,34.78782907,82.34108553,0,55.64088522,0,8.971571844,0,0,45.76114702,29.14202145,42.37761853,69.16079681,0,64.73906097,0,11.2729109,0,7.731160313,0,15.75469215,11.42938597,28.01889582,21.35798374,5.213135151,0,7.281065471,0,15.27629659,0,316.553599,360.0935996,67.9722478,122.9516147,8.512480676,0,0,0,14.00075671,12.39998324,20.16647333,6.647284444,12.42777379,70.10685885,138.830251,0,0,0,0,7.6171969,16.52054204,36.91709908,4.646114133
2,7,Vulgaris,3,0.031,31,1350.729005,6.058887565,0,75.74967321,20.57283127,0,14.18076482,175.9795649,11.6884639,6.246857387,0,6.040933369,0,0,32.54256429,3.548278101,6.735855124,35.96594554,53.41993658,0,35.89508957,0,3.949231459,0,0,19.87199081,22.92412189,9.007351518,54.47213986,0,14.28000567,4.099813234,8.861935044,5.005597667,6.981278305,0,11.07135656,4.618459255,22.07338695,16.35410953,7.985736419,0,8.060423433,0,10.95570424,0,205.1992971,183.9972927,20.01209102,36.30596483,4.844109783,4.608204914,0,0,5.793807313,8.724517595,13.9745238,0,9.477155417,41.1243866,79.12917991,0,0,0,0,0,7.806954552,14.53323181,0
2,8,Vulgaris small,3a,0.064,64,1464.957403,6.748312718,0,102.2234111,15.24695254,0,8.248940893,52.6544893,3.277283341,6.246441108,0,5.74590274,8.999623378,4.811797577,28.55652362,3.022828426,4.629336032,30.31006515,53.14132172,2.441872853,40.35074543,0,3.062283361,0,0,15.50946402,18.00210912,0,43.33844531,0,12.90962936,1.6923483,9.270892343,4.548556167,7.689390563,0,7.686437639,3.125230204,12.1376415,13.69345891,4.981099944,0,5.277662761,397.5795611,9.229550327,0,189.5333085,103.987975,17.60839882,31.70366046,5.823393761,5.434614769,0,2.475592088,5.112937098,7.881866037,17.70552116,0,11.53173091,26.81480386,58.87016699,3.503128331,0,0,0,3.262072275,7.26519932,20.05342507,0
2,9,Ice,4,0.131,131,684.0302645,2.215171326,0,30.95748493,3.935018987,173.0691923,2.972909305,19.69196673,3.070733271,2.484494722,0,2.480974649,1.665448458,0,3.522611757,0,0,8.572461087,11.00151175,0,5.363680916,0,0,0,0,3.509404275,4.079014724,2.56537379,7.515876712,75.19414294,4.150239216,0,2.539862779,2.631276505,1.568889125,0,2.187180629,0,2.621155413,3.709651057,0,0,2.133982713,42.3846832,1.453307098,65.19031076,45.14887172,53.48493654,8.24618131,21.87523132,1.572836062,0,0,0.910146579,1.586442787,1.686464383,3.742413914,1.406548288,1.274862518,10.82062921,22.94542366,0,0,0,0,1.235026933,3.111023582,10.54521452,0
1,10,East,1,0.117,117,528.3131825,1.365075863,0,26.53060801,3.497891163,127.9834332,1.903087986,15.32734182,1.640322173,2.469627128,0,2.324996533,0,0,1.840426462,0,0,7.117196418,9.364285283,0,5.223016967,0,0,0,1.986216791,2.138426689,3.705811407,2.034524388,6.958067366,76.25096025,3.410247762,0,1.770954511,1.87146582,1.212864515,0,0,0,2.43187328,0,1.091409251,0,3.505157504,78.43274942,0,0,41.10073556,25.71003047,4.930937497,14.30867669,1.356673879,1.523519556,0,0,1.50483619,0,4.907173671,0,3.887158132,6.561891757,13.84055898,0,0,0,0,0,2.051155999,13.24179606,0
1,11,Golf,1c,0.125,125,760.0966858,0,0,26.95653089,3.08208179,134.4147444,2.709860997,20.62440926,1.965468468,1.997234886,0,2.608223474,0,0,3.664794853,0,0,17.45755541,14.74595964,1.89662661,6.980902806,0,0,0,4.550581217,0,7.298233979,0,21.91411354,112.8787756,1.724932589,0,5.833995896,0,3.232419824,1.352737757,1.851319088,0,2.397552012,0,1.431942898,0,4.512135585,158.9920197,2.371453692,0,51.44820098,51.89844068,5.532770685,12.96644572,1.714527429,0,0,0,1.965996615,0,2.565402621,0,2.298505748,10.08210069,23.495607,0,0,0,0,1.162428205,10.83340556,14.68624695,0
1,12,Vulgaris,3,0.174,174,2014.659409,3.155294466,1.00648833,54.87133494,12.62031761,344.6000929,9.655533533,66.37626937,6.11577661,4.537019273,0.941643702,4.03163656,1.703725326,1.201543267,23.22916701,1.924655501,1.577781663,28.02339504,46.42695003,3.101948839,30.60978951,0.978632436,3.152778769,1.236632927,13.24135065,0,17.96465818,4.302051071,44.16413616,374.530361,10.8665428,2.576113575,6.194119943,4.101680647,6.241136854,2.248121264,2.821838645,3.450260732,13.9269315,0,7.426572288,6.19965944,11.50874708,359.1657659,10.57517319,0,119.0654115,116.8085173,15.52707141,28.1945693,4.3912407,2.356005731,2.297722771,0,5.149046856,5.307587758,11.50872738,4.701485621,6.855374552,33.65780162,69.51852255,0,1.193539529,1.303880916,2.05211579,5.730694467,9.004113392,15.90823008,0.76845388
