Pond,Sampling.station,Perim_1,Area_1,Area_loss,Area_loss_per,N0dens,N0abund,mortdens,mortabund,meanDepth,meanDOC,meanNH4,meanN03N02,meanTotalP,meanlogTotalP,meanConduc,meanlogConduc,meanTemp,meanDoPerc,meanpH,meanFPOM_adjust,Pre,No cage,Cage,DaysTreatment,Grazingpressure,BiofilmProd
East,N,138.7,759.2,47.24,0.062223393,15.4,860000,0.05,0.08,18.16666667,30.4,0.063036075,0.047083838,0.00553871,-2.268464876,125.5,2.093336934,7.43,72.1,6.32,2.237666667,10.01,16.94,21.38,25,4.44,0.4548
East,NW,138.7,759.2,47.24,0.062223393,15.4,860000,0.05,0.08,12.66666667,31.2,0.059430221,0.048159201,0.006619546,-2.201429189,152,2.180162798,7.946666667,79.43333333,6.3,2.120416667,5.04,8.68,18.34,25,9.66,0.532
East,SW,138.7,759.2,47.24,0.062223393,15.4,860000,0.05,0.08,12.83333333,27.63333333,0.056601911,0.038451427,0.008803737,-2.132712694,153,2.176797274,8.446666667,69.5,6.293333333,1.268055556,13.33,9.2375,26.72,25,17.4825,0.5356
Golf,NE,151.5,613.5,380.94,0.620929095,15.5,663000,-0.02,0.01,12.33333333,15.93333333,0.021034706,0.026722167,0.006995661,-2.227591278,206.3333333,2.097290414,12.87666667,82.63333333,6.65,1.833611111,2.94,22.28,16.54,16,-5.74,0.85
Golf,NW,151.5,613.5,380.94,0.620929095,15.5,663000,-0.02,0.01,12.83333333,17.23333333,0.027567321,0.027081639,0.00419381,-2.470146506,211.3333333,2.175281921,12.87,74.4,6.713333333,1.981,12.59,3.7125,9.88,16,6.1675,-0.169375
Golf,SW,151.5,613.5,380.94,0.620929095,15.5,663000,-0.02,0.01,9.5,18.66666667,0.029657844,0.028775604,0.004190968,-2.430036871,249.3333333,2.333084124,13.9,75.6,6.683333333,2.316805555,6.24,4.48,14.98,16,10.5,0.54625
Ice,East,145.6,1422,358.71,0.252257384,10.3,441000,-0.01,-0.01,18.75,21.1,0.027373809,0.016935681,0.006310769,-2.201006355,90.33333333,1.948964514,6.88,76.13333333,6.35,1.383333333,,11,11.14,17,0.14,
Ice,N,145.6,1422,358.71,0.252257384,10.3,441000,-0.01,-0.01,17.75,19.06666667,0.021197972,0.012675948,0.007329359,-2.135667285,89,1.944009456,7.693333333,78,6.496666667,1.573333333,3.88,7.475,4.875,17,-2.6,0.058529412
Ice,S,145.6,1422,358.71,0.252257384,10.3,441000,-0.01,-0.01,25.25,18.5,0.026204545,0.026182019,0.006359115,-2.200461398,87,1.932130381,6.21,79,6.556666667,1.722222222,8.08,,33.14,17,,1.474117647
NoOil,NE,58.4,198.57,68.6,0.345470111,75.2,1283000,-0.01,0.06,15,32.06666667,0.060208403,0.023413622,0.030117465,-1.63575242,729,2.834101351,13.62333333,57.53333333,6.343333333,2.681666667,3.43,5.6375,5.275,18,-0.3625,0.1025
NoOil,NW,58.4,198.57,68.6,0.345470111,75.2,1283000,-0.01,0.06,16.66666667,38.43333333,0.058691811,0.027893619,0.056662935,-1.423124509,861.6666667,2.913599823,11.64,64.1,6.496666667,4.729851852,16.74,7.61,9.5125,18,1.9025,-0.401527778
NoOil,SW,58.4,198.57,68.6,0.345470111,75.2,1283000,-0.01,0.06,17.5,32.43333333,0.050701766,0.041806979,0.032935133,-1.711072468,809.3333333,2.881519967,10.87666667,76.53333333,6.61,2.302777778,,5.8875,16.05,18,10.1625,
Oil,Center,132.5,572.3,147.31,0.257399965,50.1,1982000,0.07,0.1,10.33333333,21.9,0.037479535,0.049660376,0.006279561,-2.640613169,1084.666667,3.012072923,6.83,98,6.45,2.921333333,11.73888889,5.72,10.0625,26,4.3425,-0.064476496
Oil,East,132.5,572.3,147.31,0.257399965,50.1,1982000,0.07,0.1,15.33333333,23.23333333,0.030334818,0.069276088,0.012703975,-1.900027814,850.6666667,2.89594298,6.29,92.03333333,6.51,2.978393939,4.35,3.93,8.39,26,4.46,0.155384615
Oil,West,132.5,572.3,147.31,0.257399965,50.1,1982000,0.07,0.1,17,22.5,0.025332958,0.052590889,0.010493499,-1.997494912,798.6666667,2.862654665,6.463333333,89.03333333,6.52,3.229333333,4.4,2.94,14.9625,26,12.0225,0.40625
Vulgaris,NE,298.5,1758.35,727.3,0.413626411,141,12437000,0.08,0.13,21.33333333,38.96666667,0.042245268,0.023485687,0.06594099,-1.399755555,87,1.890389713,9.706666667,82.53333333,6.583333333,2.285740741,10.7625,15.58,46.92,20,31.34,1.807875
Vulgaris,SE,298.5,1758.35,727.3,0.413626411,141,12437000,0.08,0.13,22,42.4,0.034422782,0.020713461,0.048946962,-1.417316167,123,2.012064794,10.05666667,75.03333333,6.3,2.323333333,9.44,25.28,54.84,20,29.56,2.27
Vulgaris,West,298.5,1758.35,727.3,0.413626411,141,12437000,0.08,0.13,18.5,38.03333333,0.038136738,0.017148555,0.045087336,-1.460073241,109.6666667,1.972172371,10.76,88.33333333,6.63,1.83175,9.08,46.62,30.9,20,-15.72,1.091
Vulgaris small,East,238.2,3181.26,279.42,0.087833123,41.7,2960000,0.07,0.12,17,30.4,0.030906561,0.018624803,0.015712414,-1.942957218,235,2.288630739,10.66666667,83.03333333,6.73,3.740666667,5.87,21.38,24.64,20,3.26,0.9385
Vulgaris small,NE,238.2,3181.26,279.42,0.087833123,41.7,2960000,0.07,0.12,16.5,31.53333333,0.035332413,0.030219071,0.009893183,-2.096418823,197.6666667,2.212465619,9.93,79.13333333,6.67,2.299888889,4.98,10.8625,48.02,20,37.1575,2.152
Vulgaris small,SW,238.2,3181.26,279.42,0.087833123,41.7,2960000,0.07,0.12,16.63333333,32.86666667,0.029563005,0.012215882,0.018695472,-1.860467811,209,2.268027568,10.17333333,76.93333333,6.666666667,2.525444444,4.91,10.4,27.24,20,16.84,1.1165
Waterfall,NE,206.1,1769.31,1307.83,0.739175159,13.5,717000,-0.04,0.04,17.66666667,37.33333333,0.04082356,0.046285314,0.00516466,-2.317140441,206.3333333,2.273658686,10.67333333,80.16666667,6.54,1.506944445,3.3,5.41,23.64,21,18.23,0.968571429
Waterfall,NW,206.1,1769.31,1307.83,0.739175159,13.5,717000,-0.04,0.04,15.16666667,40.63333333,0.043272906,0.018789675,0.006043152,-2.255674485,187.6666667,2.257495334,12.09666667,78.96666667,6.613333333,1.9355,5.7,6.625,11.3625,21,4.7375,0.269642857
Waterfall,SE,206.1,1769.31,1307.83,0.739175159,13.5,717000,-0.04,0.04,20.5,38.1,0.036675116,0.017275896,0.004691407,-2.346589572,196.3333333,2.251726476,10.53666667,80.73333333,6.533333333,1.387839744,2.7,10.45,13.175,21,2.725,0.498809524
