Date,Pond,Instar, Sampling station,FPOM_adjust,FPOM_liter,DOC,NH4,N03N02,TotalP,logTotalP,Conduc,logConduc,DoPerc,DomgL,pH,ORP,Depth
5/18/2018,East,1st,SW,1.36,3.885714286,19.4,53.979129,40.275416,16.538455,2.805688275,150,5.010635294,65.9,9.26,6.47,-254.4,11.5
5/18/2018,East,1st,NW,2.66,7.6,30.2,69.347648,48.777673,9.719788,2.274163808,157,5.056245805,75.5,10.71,6.54,-257.8,14.5
5/18/2018,East,1st,N,4.83,13.8,28.3,56.929631,43.891244,7.322315,1.990926535,,,47.8,6.44,6.57,-275.1,23
6/1/2018,East,2nd3rd,N,0.875,2.5,31.1,63.44575,41.936729,5.111931,1.631577219,106,4.663439094,86,10.72,6.27,-248.4,18.5
6/1/2018,East,2nd3rd,NW,0.945,2.7,29.5,64.060508,34.705303,5.400978,1.686580048,134,4.8978398,89.2,10.7,6.25,-254.4,9.5
6/1/2018,East,2nd3rd,SW,1.411666667,4.033333334,31,62.462147,45.161696,4.497283,1.503473437,119,4.779123493,83,9.62,6.27,-234.1,15
6/17/2018,East,Pupae,N,1.008,2.88,31.8,68.732844,55.42354,4.181884,1.430761863,145,4.976733742,82.5,8.55,6.12,-250,13
6/17/2018,East,Pupae,SW,1.0325,2.95,32.5,53.364456,29.917169,5.375474,1.681846756,190,5.247024072,59.6,5.94,6.14,-267.8,12
6/17/2018,East,Pupae,NW,2.75625,7.875,33.9,44.882507,60.994627,4.737871,1.555587879,165,5.105945474,73.6,7.34,6.11,-248,14
5/19/2018,Golf,1st,NE,1.1375,3.25,6.2,11.726426,54.250713,4.60525,1.527196957,22,3.091042453,78.6,10.38,6.63,-252.2,14.5
5/19/2018,Golf,1st,NW,1.428,4.08,5.7,19.921859,56.88959,1.226877,0.204471916,39,3.663561646,68.4,9.04,6.7,-254.3,14.5
5/19/2018,Golf,1st,SW,1.86375,5.325,8.2,26.963058,58.746613,5.758038,1.750596792,94,4.543294782,73.5,9.68,6.53,-273.2,13.5
6/2/2018,Golf,2nd3rd,SW,1.633333333,4.666666666,21.5,25.848957,14.41428,1.762444,0.566701482,300,5.703782475,77,7.57,6.52,-243,8
6/2/2018,Golf,2nd3rd,NE,1.761666667,5.033333334,19.2,21.498425,17.639232,12.882502,2.555869956,289,5.666426688,89,8.35,6.34,-241.3,10
6/2/2018,Golf,2nd3rd,NW,1.89,5.4,20.8,20.45522,16.286829,4.933402,1.596028811,248,5.513428746,79.2,8.14,6.47,-240,7
6/11/2018,Golf,Pupae,NE,2.601666667,7.433333334,22.4,29.879268,8.276556,3.499232,1.252543516,308,5.730099783,80.3,7.12,6.98,-272.8,12.5
6/11/2018,Golf,Pupae,NW,2.625,7.5,25.2,42.324883,8.068499,6.421152,1.859597541,347,5.84932478,75.6,6.68,6.97,-273.1,17
6/11/2018,Golf,Pupae,SW,3.453333333,9.866666666,26.3,36.161517,13.16592,5.052421,1.619867534,354,5.869296913,76.3,6.7,7,-258.1,7
5/20/2018,Ice,1st,S,1.97,5.628571429,14,24.070831,24.88985,6.675523,1.898447553,68,4.219507705,63.6,8.89,6.75,-266.2,21.5
5/20/2018,Ice,1st,East,1.98,5.657142857,12.8,20.739731,17.544591,5.69836,1.740178414,71,4.262679877,55.5,7.86,6.02,-247.6,25.5
5/20/2018,Ice,1st,N,1.99,5.685714286,15.5,20.229981,0,7.935333,2.071325319,72,4.276666119,62,8.55,6.44,-248,25.5
6/4/2018,Ice,2nd3rd,N,1.155,3.3,17.6,28.338284,24.133715,7.084073,1.957849025,89,4.48863637,82,9.95,6.42,-254,10
6/4/2018,Ice,2nd3rd,East,1.166666667,3.333333334,27.1,21.427297,24.673811,6.711056,1.903756316,90,4.49980967,90,11.22,6.4,-257.8,12
6/4/2018,Ice,2nd3rd,S,1.225,3.5,17.9,29.997804,27.59034,7.171856,1.970164477,86,4.454347296,90,13,6.28,-275.5,29
6/12/2018,Ice,Pupae,East,1.003333333,2.866666666,23.4,39.954398,8.588641,6.522892,1.875317836,110,4.700480366,82.9,8.58,6.63,-257.8,
6/12/2018,Ice,Pupae,N,1.575,4.5,24.1,15.025652,13.894129,6.968671,1.941424532,106,4.663439094,90,9.43,6.63,-256.6, 
6/12/2018,Ice,Pupae,S,1.971666667,5.633333334,23.6,24.545001,26.065868,5.229967,1.654404968,107,4.672828834,83.4,8.88,6.64,-261.3,
5/15/2018,NoOil,1st,NE,2.2,6.285714286,23.8,52.38099,16.237853,62.036747,4.127726903,410,6.01615716,64.2,7.75,6.45,-244.8,20
5/15/2018,NoOil,1st,SW,2.58,7.371428571,22.2,46.234635,39.005016,79.561362,4.376528573,470,6.152732695,79.8,10.67,6.59,-258.7,30
5/15/2018,NoOil,1st,NW,3.17,9.057142857,24.1,56.437872,23.468152,129.004495,4.859847249,556,6.320768294,67.8,8.79,6.45,-252.3,30
5/27/2018,NoOil,2nd3rd,NE,1.96,5.6,32.8,68.363965,10.893579,13.222585,2.581926352,770,6.646390515,53.4,5.37,6.46,-236,13
5/27/2018,NoOil,2nd3rd,SW,2.1,6,33,40.088803,29.428595,9.932333,2.295795395,838,6.7310181,62.8,6.67,6.5,-236.7,14
5/27/2018,NoOil,2nd3rd,NW,7.155555556,20.44444445,35.1,59.634363,0,18.749097,2.931145591,817,6.705639095,58.5,6.07,6.32,-250.2,12
6/4/2018,NoOil,Pupae,SW,2.228333333,6.366666666,42.1,65.78186,56.987327,9.311703,2.231271996,1120,7.021083964,87,8.37,6.74,-260,8.5
6/4/2018,NoOil,Pupae,NW,3.864,11.04,56.1,60.003198,60.212704,22.235212,3.101677158,1212,7.100027167,66,6.13,6.72,-254.6,8
6/4/2018,NoOil,Pupae,NE,3.885,11.1,39.6,59.880253,43.109434,15.093062,2.714235168,1007,6.914730893,55,5.13,6.12,-255.6,12
5/9/2018,Oil,1st,Center,2.856,8.16,19.7,46.111713,18.28965,10.416936,2.343432943,935,6.840546529,90.6,11.99,,-238.5,7
5/9/2018,Oil,1st,West,3.22,9.2,20.5,18.521075,39.395907,14.24284,2.656254324,508,6.230481448,72.8,9.17,,-210.9,13
5/9/2018,Oil,1st,East,3.57,10.2,20.3,39.84298,37.148303,11.224615,2.418109135,540,6.29156914,70.3,9.17,,-224,10
5/13/2018,Oil,2nd3rd,East,2.772,7.92,19.4,30.502349,121.218172,15.178084,2.719852545,675,6.514712691,98.8,12.74,,-220.5,25
5/13/2018,Oil,2nd3rd,Center,3.052,8.72,18.7,25.869354,84.650229,0.13875,-1.975081526,733,6.597145702,96.6,12.33,,-214.7,18
5/13/2018,Oil,2nd3rd,West,3.052,8.72,20.4,31.977106,37.73463,6.931243,1.936039162,585,6.371611847,94.7,12.46,,-245.7,25
6/5/2018,Oil,Pupae,East,2.593181818,7.409090909,30,20.659125,49.461789,11.709225,2.460376993,1337,7.198183577,107,11.9,6.51,,11
6/5/2018,Oil,Pupae,Center,2.856,8.16,27.3,40.457538,46.041248,8.282997,2.114204859,1586,7.368970402,106.8,11.45,6.45,,6
6/5/2018,Oil,Pupae,West,3.416,9.76,26.6,25.500693,80.64213,10.306413,2.332766323,1303,7.172424577,99.6,11.11,6.52,,13
5/17/2018,Vulgaris,1st,SE,3.122,8.92,23.9,28.930973,14.196053,66.375073,4.195321579,51,3.931825633,81.9,10.57,6.43,-251.8,29
5/17/2018,Vulgaris,1st,NE,3.192,9.12,21.4,28.930973,34.719704,152.841428,5.029400966,38,3.63758616,83.6,10.68,6.5,-247.5,24
5/17/2018,Vulgaris,1st,West,3.325,9.5,23.5,28.812435,9.551343,88.495019,4.482946268,48,3.871201011,83.4,10.47,6.49,-254.1,24
5/29/2018,Vulgaris,2nd3rd,NE,1.24,3.542857143,34.5,40.902598,12.035717,12.882502,2.555869956,102,4.624972813,78.5,9.67,6.13,-225.8,22
5/29/2018,Vulgaris,2nd3rd,SE,1.563333333,4.466666666,32.1,28.693898,2.098295,12.389384,2.516839977,96,4.564348191,74.6,9.15,6.12,-226.6,24
5/29/2018,Vulgaris,2nd3rd,West,1.621666667,4.633333334,33.6,38.532083,20.893151,14.66795,2.685664841,90,4.49980967,84.9,10.37,6.12,-244.7,17.5
6/13/2018,Vulgaris,Pupae,SE,2.086,5.96,71.2,45.643474,45.846035,68.07643,4.220631045,222,5.402677382,68.6,6.33,6.35,-228.8,13
6/13/2018,Vulgaris,Pupae,West,2.688,7.68,57,47.065697,21.00117,32.099039,3.468826092,191,5.252273428,96.7,8.79,7.28,-238,14
6/13/2018,Vulgaris,Pupae,NE,6.86,19.6,61,56.902234,23.701639,32.099039,3.468826092,121,4.795790546,85.5,7.65,7.12,-254.3,18
5/20/2018,Vulgaris small,1st,NE,1.345555556,3.844444446,21.3,33.553834,21.433244,16.708502,2.815917692,64,4.158883083,66.3,8.79,6.46,-250.3,23
5/20/2018,Vulgaris small,1st,East,2.7,7.714285714,19.6,33.435302,11.819684,32.439189,3.479367229,74,4.304065093,55.3,7.41,6.56,-256,23
5/20/2018,Vulgaris small,1st,SW,3.304,9.44,23.3,32.842638,3.718514,39.582607,3.678389805,104,4.644390899,48.6,6.44,6.53,-254.4,21.5
6/4/2018,Vulgaris small,2nd3rd,NE,0.83125,2.375,35.4,42.443405,52.003432,3.121778,1.138402711,218,5.384495063,84.4,9.8,6.4,-267.8,9.5
6/4/2018,Vulgaris small,2nd3rd,SW,2.87,8.2,31.8,21.107224,28.77856,6.888736,1.929887614,177,5.176149733,96.7,11.72,6.33,-292,17
6/4/2018,Vulgaris small,2nd3rd,East,3.161666667,9.033333334,31.9,28.57536,26.078064,4.469229,1.497215911,298,5.697093487,100.8,12.21,6.46,-265.7,15
6/13/2018,Vulgaris small,Pupae,SW,1.36,3.885714286,43.5,34.739152,4.150573,9.615074,2.263332075,346,5.846438775,85.5,7.74,7.14,-241,11.4
6/13/2018,Vulgaris small,Pupae,East,1.4,4,39.7,30.70902,17.976662,10.228825,2.325209715,333,5.80814249,93,8.15,7.17,-256,13
6/13/2018,Vulgaris small,Pupae,NE,2.35,6.714285714,37.9,30,17.220538,9.849269,2.287397239,311,5.739792912,86.7,8.28,7.15,-256,17
5/16/2018,Waterfall,1st,SE,2.66875,7.625,26.4,35.568867,12.95786,6.676197,1.898548514,96,4.564348191,85.4,10.64,6.4,-254.1,12
5/16/2018,Waterfall,1st,NE,3.021666667,8.633333334,25.4,38.295029,10.14907,7.917427,2.069066279,100,4.605170186,82.9,10.47,6.44,-261.5,16
5/16/2018,Waterfall,1st,NW,3.0625,8.75,34.6,49.910088,0,9.481738,2.249367633,124,4.820281566,70.8,8.66,6.62,-256.8,13
5/27/2018,Waterfall,2nd3rd,SE,0.570769231,1.630769231,39.2,40.072924,16.464415,3.82058,1.340402244,208,5.33753808,79,9.34,6.22,-219.2,28.5
5/27/2018,Waterfall,2nd3rd,NE,0.641666667,1.833333334,36.8,40.547024,94.527275,4.263497,1.450089716,226,5.420534999,78.8,8.99,6.22,-229.8,19.5
5/27/2018,Waterfall,2nd3rd,NW,1.687,4.82,38.2,35.687397,36.123984,3.510284,1.255696946,199,5.293304825,82.9,9.24,6.25,-231.9,19
6/11/2018,Waterfall,Pupae,NE,0.8575,2.45,49.8,43.628627,34.179597,3.313055,1.197870724,293,5.680172609,78.8,7.59,6.96,-260.9,17.5
6/11/2018,Waterfall,Pupae,SE,0.924,2.64,48.7,34.383558,22.405412,3.577444,1.274648579,285,5.65248918,77.8,7.4,6.98,-250,21
6/11/2018,Waterfall,Pupae,NW,1.057,3.02,49.1,44.221233,20.245041,5.137435,1.636553928,240,5.480638923,83.2,7.73,6.97,-257.2,13.5
